Dataset,Algorithm,Privacy,Epsilon,L,SSE,Silhouette,ARI,NMI,N_Clusters
Iris,K-means,No,,,78.85144142614601,0.5528190123564095,0.7302382722834697,0.7581756800057783,3
Iris,GMM,No,,,90.21059519864946,0.5011761635067206,0.9038742317748124,0.8996935451597473,3
Iris,TMM,No,,,79.1122364235381,0.551191604619592,0.7163421126838476,0.7419116631817835,3
Iris,Private K-means,Yes,4.0,0.5,1187.5640396936428,-0.04576820653645714,0.00839467594456883,0.019271138259646815,3
Iris,Private GMM,Yes,4.0,0.5,1375.8112384806768,0.11572327556640692,0.010570385554813112,0.09436413852903489,2
Iris,Private TMM,Yes,4.0,0.5,909.9193535335205,-0.04186186226296735,-0.01007401846994045,0.0031995786604613738,3
Wine,K-means,No,,,2370689.686782968,0.5711381937868838,0.37111371823084754,0.4287568597645353,3
Wine,GMM,No,,,4353130.682776631,0.34726590057721557,0.4619272282027204,0.5165248571923313,3
Wine,TMM,No,,,3339043.4847645476,0.563837580655376,0.34991749347884027,0.41991535313973505,3
Wine,Private K-means,Yes,4.0,0.5,108871412.17987603,-0.05022137162738158,-0.0018459741738338096,0.0076246079627504985,3
Wine,Private GMM,Yes,4.0,0.5,,0.0,0.0,0.0,1
Wine,Private TMM,Yes,4.0,0.5,37490284.54457755,-0.047145683487251115,0.005348298337408792,0.01583678818056165,3
Breast Cancer,K-means,No,,,77943099.87829885,0.6972646156059464,0.49142453622455523,0.4647933279216087,2
Breast Cancer,GMM,No,,,117125657.52907208,0.5315172918032405,0.811631803886236,0.706125421448489,2
Breast Cancer,TMM,No,,,304947059.44916725,0.6634401992359183,0.14732949912681698,0.19640141268753541,2
Breast Cancer,Private K-means,Yes,4.0,0.5,1838195137.22839,0.0011352133674391335,-0.0006357417406006429,0.0004221642265114238,2
Breast Cancer,Private GMM,Yes,4.0,0.5,,0.0,0.0,0.0,1
Breast Cancer,Private TMM,Yes,4.0,0.5,1481350072.4927392,0.010312956565697962,0.007008651257198864,0.00603572707537915,2
Digits (0-2),K-means,No,,,362359.2622239961,0.295654947441837,0.7886726847974956,0.7605060640757517,3
Digits (0-2),GMM,No,,,366613.9088820262,0.2898565448959635,0.7650339891383285,0.7597507545561795,3
Digits (0-2),TMM,No,,,372241.22268202016,0.29099010584055307,0.5744519837952652,0.6464490843174237,3
Digits (0-2),Private K-means,Yes,4.0,0.5,1028637.8241215663,-0.008623562406492787,-0.0017573958735756065,0.0018363263705995791,3
Digits (0-2),Private GMM,Yes,4.0,0.5,1035330.2380339904,-0.06509162827961536,0.015310645320570948,0.019257303753637305,3
Digits (0-2),Private TMM,Yes,4.0,0.5,1012720.3674694746,-0.009054684777716883,-0.0014970410429402557,0.0020465215557215225,3
Synthetic Blobs,K-means,No,,,289.43839437063895,0.9144543519387365,1.0,1.0000000000000016,3
Synthetic Blobs,GMM,No,,,289.438394370639,0.9144543519387365,1.0,1.0000000000000016,3
Synthetic Blobs,TMM,No,,,289.56933580297635,0.9144543519387365,1.0,1.0000000000000016,3
Synthetic Blobs,Private K-means,Yes,4.0,0.5,45159.458630486995,-0.03648268702889284,0.029971098144307345,0.0317382147089148,3
Synthetic Blobs,Private GMM,Yes,4.0,0.5,58198.58012011291,0.41180433938545963,0.5248501990057004,0.6905543826220432,3
Synthetic Blobs,Private TMM,Yes,4.0,0.5,36053.73889753959,-0.03159367175148311,0.03227976582105037,0.033928696350401646,3
Synthetic Overlap,K-means,No,,,4631.014309930224,0.6731093193010974,1.0,1.0000000000000016,3
Synthetic Overlap,GMM,No,,,4631.014333210835,0.6731093193010974,1.0,1.0000000000000016,3
Synthetic Overlap,TMM,No,,,4633.146520060698,0.6731093193010974,1.0,1.0000000000000016,3
Synthetic Overlap,Private K-means,Yes,4.0,0.5,82038.67636435105,-0.0340936332973328,0.01487633370356467,0.019346160901927152,3
Synthetic Overlap,Private GMM,Yes,4.0,0.5,64194.341082291685,0.4117730896694857,0.6842830973765073,0.7011622197310914,3
Synthetic Overlap,Private TMM,Yes,4.0,0.5,44499.682639501494,-0.03133096485115118,0.01568142305313228,0.019645716075148385,3
